url,user_label,prediction_was,UsingIP,LongURL,ShortURL,Symbol@,Redirecting//,PrefixSuffix-,SubDomains,HTTPS,DomainRegLen,Favicon,NonStdPort,HTTPSDomainURL,RequestURL,AnchorURL,LinksInScriptTags,ServerFormHandler,InfoEmail,AbnormalURL,WebsiteForwarding,StatusBarCust,DisableRightClick,UsingPopupWindow,IframeRedirection,AgeofDomain,DNSRecording,WebsiteTraffic,PageRank,GoogleIndex,LinksPointingToPage,StatsReport
http://127.0.0.1:8000/docs,safe,phishing,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0,1,1,1,1,-1,1,-1,-1,1,0,1
http://localhost:8000/,safe,phishing,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0,1,1,1,1,-1,1,-1,-1,1,0,1
http://127.0.0.1:8000/predict/url,safe,phishing,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0,1,1,1,1,-1,1,-1,-1,1,0,1
http://127.0.0.1:8000/feedback/status,safe,phishing,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0,1,1,1,1,-1,1,-1,-1,1,0,1
